bs,seq,nh,nkv,hd,t_measured_ms
1,512,32,1,64,0.21731317974627018
1,512,32,1,128,0.2601929008960724
1,512,32,2,64,0.21669198758900166
1,512,32,2,128,0.2597365528345108
1,512,32,4,64,0.21738838404417038
1,512,32,4,128,0.25954050943255424
1,512,32,8,64,0.21680723875761032
1,512,32,8,128,0.26452518068253994
1,512,64,1,64,0.4634351935237646
1,512,64,1,128,0.7586420979350805
1,512,64,2,64,0.46248803846538067
1,512,64,2,128,0.7576243951916695
1,512,64,4,64,0.46479213051497936
1,512,64,4,128,0.7588719017803669
1,512,64,8,64,0.4635951481759548
1,512,64,8,128,0.7573594339191914
1,1024,2,1,64,0.12059882283210754
1,1024,2,1,128,0.13065221719443798
1,1024,2,2,64,0.12441608123481274
1,1024,2,2,128,0.127316452562809
1,1024,2,4,64,-1.0
1,1024,2,4,128,-1.0
1,1024,2,8,64,-1.0
1,1024,2,8,128,-1.0
1,1024,4,1,64,0.16465084627270699
1,1024,4,1,128,0.18853438086807728
1,1024,4,2,64,0.16857264563441277
1,1024,4,2,128,0.191014027222991
1,1024,4,4,64,0.1639139372855425
1,1024,4,4,128,0.19303802400827408
1,1024,4,8,64,-1.0
1,1024,4,8,128,-1.0
1,1024,8,1,64,0.21569011732935905
1,1024,8,1,128,0.24396763183176517
1,1024,8,2,64,0.21526380442082882
1,1024,8,2,128,0.24262536317110062
1,1024,8,4,64,0.21736323833465576
1,1024,8,4,128,0.24194829165935516
1,1024,8,8,64,0.21618627943098545
1,1024,8,8,128,0.242715235799551
1,1024,16,1,64,0.3831705544143915
1,1024,16,1,128,0.40902383625507355
1,1024,16,2,64,0.35749305970966816
1,1024,16,2,128,0.40830764919519424
1,1024,16,4,64,0.35640597343444824
1,1024,16,4,128,0.4094596952199936
1,1024,16,8,64,0.35746744833886623
1,1024,16,8,128,0.4085723776370287
1,1024,32,1,64,0.5987805780023336
1,1024,32,1,128,0.7509926799684763
1,1024,32,2,64,0.5994120147079229
1,1024,32,2,128,0.7508974522352219
1,1024,32,4,64,0.6026020273566246
1,1024,32,4,128,0.7503514643758535
1,1024,32,8,64,0.5984248127788305
1,1024,32,8,128,0.7591329049319029
1,1024,64,1,64,1.6803564503788948
1,1024,64,1,128,2.7958403807133436
1,1024,64,2,64,1.6804260667413473
1,1024,64,2,128,2.7958499267697334
1,1024,64,4,64,1.6798204742372036
1,1024,64,4,128,2.79475306160748
1,1024,64,8,64,1.6802609898149967
1,1024,64,8,128,2.7982795145362616
1,2048,2,1,64,0.26379432529211044
1,2048,2,1,128,0.2959792036563158
1,2048,2,2,64,0.2773643936961889
1,2048,2,2,128,0.2938804682344198
1,2048,2,4,64,-1.0
1,2048,2,4,128,-1.0
1,2048,2,8,64,-1.0
1,2048,2,8,128,-1.0
1,2048,4,1,64,0.37348270416259766
1,2048,4,1,128,0.41941297240555286
1,2048,4,2,64,0.3719648811966181
1,2048,4,2,128,0.41856151074171066
1,2048,4,4,64,0.37422869354486465
1,2048,4,4,128,0.4200483672320843
1,2048,4,8,64,-1.0
1,2048,4,8,128,-1.0
1,2048,8,1,64,0.5665249191224575
1,2048,8,1,128,0.6565074436366558
1,2048,8,2,64,0.5643265321850777
1,2048,8,2,128,0.6379084661602974
1,2048,8,4,64,0.5537816323339939
1,2048,8,4,128,0.6386588793247938
1,2048,8,8,64,0.5661854520440102
1,2048,8,8,128,0.6501809693872929
1,2048,16,1,64,1.1539601255208254
1,2048,16,1,128,1.3211648911237717
1,2048,16,2,64,1.1496427468955517
1,2048,16,2,128,1.3221767731010914
1,2048,16,4,64,1.1498979292809963
1,2048,16,4,128,1.3222822453826666
1,2048,16,8,64,1.1481845285743475
1,2048,16,8,128,1.3259591069072485
1,2048,32,1,64,2.194995991885662
1,2048,32,1,128,2.8090605046600103
1,2048,32,2,64,2.4947666097432375
1,2048,32,2,128,2.8242834378033876
1,2048,32,4,64,2.2674156352877617
1,2048,32,4,128,2.827319083735347
1,2048,32,8,64,2.204624004662037
1,2048,32,8,128,2.8225299902260303
1,2048,64,1,64,6.229844642803073
1,2048,64,1,128,10.648474795743823
1,2048,64,2,64,6.295486586168408
1,2048,64,2,128,10.674618417397141
1,2048,64,4,64,6.291624158620834
1,2048,64,4,128,10.711307171732187
1,2048,64,8,64,6.2402591574937105
1,2048,64,8,128,10.753179667517543
1,4096,2,1,64,0.6694113835692406
1,4096,2,1,128,0.7602905388921499
1,4096,2,2,64,0.6570341065526009
1,4096,2,2,128,0.748518155887723
1,4096,2,4,64,-1.0
1,4096,2,4,128,-1.0
1,4096,2,8,64,-1.0
1,4096,2,8,128,-1.0
1,4096,4,1,64,1.0895803570747375
1,4096,4,1,128,1.1976114474236965
1,4096,4,2,64,1.040369737893343
1,4096,4,2,128,1.2058059219270945
1,4096,4,4,64,1.046780962496996
1,4096,4,4,128,1.2514665722846985
1,4096,4,8,64,-1.0
1,4096,4,8,128,-1.0
1,4096,8,1,64,2.0812605507671833
1,4096,8,1,128,2.399350516498089
1,4096,8,2,64,2.0776232704520226
1,4096,8,2,128,2.398914657533169
1,4096,8,4,64,2.0766775123775005
1,4096,8,4,128,2.4000508710741997
1,4096,8,8,64,2.0817716140300035
1,4096,8,8,128,2.3975924123078585
