M,N,K,t_measured_ms
128,8192,6227,-1.0
128,8192,8192,0.04786101635545492
128,8192,12632,-1.0
128,8192,13940,-1.0
128,8192,15254,-1.0
128,8192,16384,0.09248696733266115
128,9372,256,-1.0
128,9372,512,-1.0
128,9372,1024,-1.0
128,9372,2048,-1.0
128,9372,2885,-1.0
128,9372,4096,-1.0
128,9372,6227,-1.0
128,9372,8192,-1.0
128,9372,12632,-1.0
128,9372,13940,-1.0
128,9372,15254,-1.0
128,9372,16384,-1.0
128,13896,256,-1.0
128,13896,512,-1.0
128,13896,1024,-1.0
128,13896,2048,-1.0
128,13896,2885,-1.0
128,13896,4096,-1.0
128,13896,6227,-1.0
128,13896,8192,-1.0
128,13896,12632,-1.0
128,13896,13940,-1.0
128,13896,15254,-1.0
128,13896,16384,-1.0
128,14440,256,-1.0
128,14440,512,-1.0
128,14440,1024,-1.0
128,14440,2048,-1.0
128,14440,2885,-1.0
128,14440,4096,-1.0
128,14440,6227,-1.0
128,14440,8192,-1.0
